pvalue,logFC,gene
3.80E-07,1.551837471,SLC39A8
0.000225316,1.545774228,RHAG
1.22E-07,1.476785907,DDIT4
0.000456042,1.45844733,MPO
0.000163205,1.426255488,RRM2
1.97E-06,1.416861672,CCL3
0.000788816,-1.37367565,TGFBI
2.45E-05,1.353077274,MAFF
0.000512814,1.347927128,TYMS
7.26E-05,1.274397197,ENPP2
0.000156981,1.271774857,KIAA0101
4.92E-05,1.261723509,TOP2A
1.22E-05,1.208037222,KIF11
7.59E-09,1.195259574,PRG2
8.64E-06,1.193896162,CKS2
1.84E-07,1.177727913,SLCO4A1
0.000238814,1.172893311,ZWINT
7.21E-05,-1.154354926,CCR2
5.70E-05,1.153576323,CCNB1
7.11E-05,1.151827601,CEP55
2.71E-05,1.146530188,NUSAP1
1.28E-05,1.129980973,RGS1
0.000201497,1.126222983,PTTG1
1.60E-05,1.085461074,PRC1
9.69E-05,1.064316214,CD24
6.80E-05,1.047218246,CCNB2
0.000742463,1.045872303,HMMR
0.000794078,-1.037159055,CPVL
6.42E-06,1.031760004,RGL1
2.08E-05,1.014876093,MLF1IP
8.67E-06,0.993868712,FABP5
0.000441771,0.993653129,MAD2L1
0.000743933,0.98502566,CD69
0.000261372,-0.977447068,RGS2
0.000401236,0.961470313,EMP1
4.92E-05,0.960414913,RACGAP1
4.97E-05,-0.952873372,FGL2
0.00030136,0.948321008,TTK
0.000634735,0.947491804,NME1
5.38E-05,0.942276194,TFRC
3.93E-05,0.923485397,CTSL1
8.43E-07,0.922862749,EBI3
0.000615785,0.90337739,SHCBP1
0.000611904,0.890256367,CCRL2
9.15E-05,0.877733158,KIF14
2.38E-05,0.868351686,MELK
3.06E-05,0.861888705,TFDP2
5.75E-06,0.856671552,MT1G
1.49E-05,0.855255639,H1F0
0.000801731,0.841547219,MCM4
1.14E-05,0.838337158,AREG
2.05E-05,0.828499105,NEK2
0.000397434,0.821577292,MT1H
5.82E-05,0.811555294,TPX2
2.52E-06,0.808221028,BTG3
0.000421905,0.806001353,RAB13
0.00065277,-0.80298609,HSPA6
0.000401141,0.79752796,CDC20
0.000789951,-0.785378972,EMR3
0.000616686,0.78245075,CASC5
0.000206175,0.781674691,MT1E
2.63E-05,0.780033674,SCD
0.00038254,0.780016187,GINS2
0.000115714,-0.775647149,RCBTB2
3.79E-05,0.771621649,E2F8
0.00071323,0.768635547,STAT4
5.53E-06,-0.76507068,NUAK2
0.000104406,0.764104978,CKS1B
0.00033757,0.760524795,CCNE2
0.000368559,0.759346001,RAD51AP1
0.0002966,0.756313688,TNFAIP3
0.000443563,-0.753393999,CD302
0.000417345,0.749264593,MCM6
0.000651929,0.736321093,NDUFS5
0.000651929,0.736321093,RPL10
0.000748791,0.734671161,BUB1B
0.000670023,0.72801973,MT1X
0.000176931,0.727736539,CDKN3
0.000215629,0.713149498,NNMT
0.000542807,0.707276633,COX6C
0.000415213,0.707242035,LSM5
0.000402108,0.688284784,PSMG1
0.000597994,0.687534764,CENPA
5.59E-06,0.68433008,KIF4A
0.000382375,-0.680748963,MANSC1
0.000381961,0.66691661,MCM2
0.000560509,0.665517561,MT1F
0.000424995,0.660750672,RPA3
0.000341097,0.659430493,COX7B
0.000205613,0.654066511,MYL6B
0.000168769,0.651272374,PCNT
0.00044441,0.651200004,ATAD2
1.02E-07,0.649649272,SDC4
2.06E-07,0.64822346,WBP5
0.000313481,0.63596306,TARS
5.26E-05,0.633875271,CCL20
0.00015579,-0.623034851,CLEC7A
0.000150251,0.622876984,RAD51
6.70E-06,0.621280745,JUN
0.000733485,0.617082335,FEN1
0.000508808,0.614104894,AURKA
0.000413996,-0.612007876,FRAT1
0.000764293,0.606816016,SNRPG
0.00012825,0.603703827,KIF2C
0.000631961,0.602447146,POLE2
0.000179158,0.599351939,UBE2C
1.08E-05,0.59851926,AURKB
0.00036046,0.585009044,CENPF
