"","SID","logFC","t","P.Value","adj.P.Val","B"
"7945","SLC39A8",1.55183747100439,5.25437693782253,3.79981153841416e-07,0.000671046717683941,6.16095569371771
"7180","RHAG",1.54577422845615,3.7574608303864,0.000225315621623011,0.0259504818121459,0.428604687224688
"2205","DDIT4",1.47678590728133,5.48822535490317,1.22410418423163e-07,0.000432353597870613,7.18823657406405
"5210","MPO",1.45844733022808,3.56459864444696,0.000456041548393784,0.0389694858611334,-0.193659529800153
"7405","RRM2",1.42625548766291,3.8431987269547,0.000163205276238231,0.022565907269392,0.714286075028905
"1310","CCL3",1.41686167244487,4.90142954346069,1.96652257078733e-06,0.00190684840046943,4.6739605694506
"8654","TGFBI",-1.37367565027799,-3.4090314495374,0.000788816334112673,0.0499714133237271,-0.67470812498768
"4845","MAFF",1.35307727360631,4.32126993367138,2.44629659656183e-05,0.00720026631588032,2.40625759695208
"9157","TYMS",1.34792712775752,3.53172999997862,0.000512813586433157,0.041164945165498,-0.296863833408495
"2704","ENPP2",1.2743971968396,4.05255418316294,7.2566180377655e-05,0.013257090470373,1.43481828845921
"4418","KIAA0101",1.27177485675105,3.85343773899542,0.000156981349429281,0.0222680843268946,0.748770880770154
"8910","TOP2A",1.26172350938639,4.1503297473709,4.91515897809479e-05,0.0107508203523267,1.7823049949651
"4453","KIF11",1.20803722151796,4.48713184041256,1.2185350322586e-05,0.00478207303770821,3.03128584255049
"6652","PRG2",1.19525957353634,6.03577871188797,7.589606773811e-09,8.04194733753013e-05,9.71645241843693
"1674","CKS2",1.19389616190686,4.56719682712468,8.64437853979113e-06,0.00399504232519608,3.33978020108346
"8010","SLCO4A1",1.17772791286362,5.40495645802075,1.83940183251574e-07,0.000436187817517093,6.81870605187569
"9814","ZWINT",1.17289331149645,3.74183375160394,0.000238814000281862,0.0272093886772754,0.377130764852936
"1339","CCR2",-1.15435492627423,-4.0540911869517,7.21270255777112e-05,0.013257090470373,1.44022710177985
"1316","CCNB1",1.1535763228467,4.11316210078829,5.70442095656333e-05,0.0116238547030279,1.64940023480025
"1548","CEP55",1.15182760116333,4.05789013216554,7.10524262018073e-05,0.013257090470373,1.45360320138514
"5828","NUSAP1",1.14653018813973,4.29657216941634,2.70928195024392e-05,0.00755461882757489,2.31482866198025
"7163","RGS1",1.12998097295907,4.47571842690564,1.27919005018569e-05,0.00484082063277411,2.98766629977727
"6879","PTTG1",1.12622298274562,3.78733099952904,0.000201497428505834,0.0248253448702967,0.527506296500746
"6630","PRC1",1.08546107361362,4.42268158679953,1.60121745094136e-05,0.00565550003672489,2.78614775063867
"1371","CD24",1.06431621405681,3.97888450990378,9.68738133951591e-05,0.0165560472054049,1.17759169243605
"1318","CCNB2",1.04721824587281,4.06902114921288,6.79909769744827e-05,0.0130987707640294,1.49285594382167
"3852","HMMR",1.04587230263284,3.42648994045445,0.000742463009301926,0.0492669886589847,-0.621663120566097
"1912","CPVL",-1.0371590553843,-3.40711070675468,0.000794078060099752,0.0499714133237271,-0.680529410160805
"10379","RGL1",1.03176000367753,4.63574844825605,6.42005309765546e-06,0.0035497806640346,3.60736890693002
"5138","MLF1IP",1.01487609313639,4.36038560774649,2.07917235272208e-05,0.00664265613705519,2.5519359227564
"2856","FABP5",0.993868711886178,4.56646400525735,8.67176042652981e-06,0.00399504232519608,3.33693681524894
"4838","MAD2L1",0.993653128899961,3.57346511872005,0.00044177108616059,0.0382843136574178,-0.165676763281962
"1406","CD69",0.985025659621555,3.4259206656796,0.000743933388584141,0.0492669886589847,-0.623396546062555
"7172","RGS2",-0.977447068379701,-3.71749275739507,0.000261371735449403,0.0294627117959774,0.297322016819311
"2685","EMP1",0.961470313206771,3.60020402022547,0.000401236265269301,0.0370499054461875,-0.080921532118059
"10366","RACGAP1",0.960414913026737,4.1501999934709,4.91772351299873e-05,0.0107508203523267,1.78183928966212
"3026","FGL2",-0.952873372079579,-4.14748917585579,4.97159491566639e-05,0.0107508203523267,1.77211254359788
"9105","TTK",0.948321007870096,3.67885137434905,0.000301360453500827,0.0325838302581098,0.1715485909774
"5644","NME1",0.947491804305142,3.47136961103823,0.000634735261416694,0.0463838264135951,-0.48420790319049
"8646","TFRC",0.942276194081662,4.1280215132336,5.37536116188029e-05,0.0111681033080948,1.70241542855227
"2048","CTSL1",0.923485396963452,4.20559123977133,3.93164536396453e-05,0.00968830564571352,1.98174313281131
"2533","EBI3",0.922862748961155,5.08555076173836,8.42615791750253e-07,0.00127547956134081,5.43993766953157
"7737","SHCBP1",0.903377390248122,3.47999583836938,0.000615784954996824,0.0456951075244713,-0.457607730751885
"1348","CCRL2",0.890256367308272,3.48179311424249,0.000611904011173978,0.0456951075244713,-0.452058281459042
"4456","KIF14",0.877733158213663,3.99349493137942,9.15082841184258e-05,0.016160362975314,1.22829008546386
"5053","MELK",0.868351686462408,4.32754443616011,2.38348863549941e-05,0.00720026631588032,2.42955351935592
"8633","TFDP2",0.861888704707814,4.26682312045881,3.06208721568614e-05,0.00831945541984881,2.20527090975205
"5297","MT1G",0.856671552460111,4.66101629976389,5.74862293698161e-06,0.00338402270223651,3.70679841000412
"3669","H1F0",0.855255639385341,4.43953010315928,1.49130022969606e-05,0.00544890249443431,2.8499549691859
"5002","MCM4",0.841547218774648,3.40433825809851,0.000801730866839713,0.0499714133237271,-0.688926891312243
"494","AREG",0.838337157581248,4.50191331800805,1.14408035477946e-05,0.00466256747663197,3.08791015282533
"5555","NEK2",0.82849910543296,4.36350658963218,2.05227522365888e-05,0.00664265613705519,2.56360547831328
"5298","MT1H",0.82157729246032,3.60284117239772,0.000397433992175121,0.0370499054461875,-0.0725326603745851
"8945","TPX2",0.811555293771515,4.10799972064991,5.82317543577228e-05,0.0116419560221591,1.63101925954819
"957","BTG3",0.808221027744783,4.84666552591392,2.51942974769461e-06,0.00190684840046943,4.45032168716225
"6926","RAB13",0.806001353137218,3.58626743507838,0.000421905266853339,0.0375270461789346,-0.125165485586613
"3963","HSPA6",-0.802986089739561,-3.46338150432551,0.000652769890126413,0.0467347956471586,-0.508788598287103
"1429","CDC20",0.797527959867171,3.60026949150996,0.00040114145503978,0.0370499054461875,-0.0807133304083054
"10019","EMR3",-0.785378972192985,-3.40861635119182,0.000789950694588162,0.0499714133237271,-0.675966428358999
"9914","CASC5",0.782450749874479,3.47958027611575,0.000616685577198886,0.0456951075244713,-0.458890504285097
"10193","MT1E",0.781674690928366,3.78121023439997,0.000206175004585326,0.0248253448702967,0.507185409944214
"7514","SCD",0.78003367368317,4.30336415905656,2.63437722954929e-05,0.00754428679035249,2.33992923500636
"3350","GINS2",0.780016187156018,3.61340562322203,0.000382539524826341,0.0368489891369082,-0.0388732146188513
"7099","RCBTB2",-0.775647149066837,-3.93305288605245,0.000115714381283946,0.0185774179406771,1.01957375394031
"2528","E2F8",0.771621648883461,4.21483208159258,3.78674919098274e-05,0.00968830564571352,2.01530618635837
"8337","STAT4",0.768635546691731,3.43803256712825,0.000713229838086311,0.0492669886589847,-0.586461396553717
"9890","NUAK2",-0.765070680379493,-4.66965680511318,5.53496613607285e-06,0.00338402270223651,3.740897026228
"1673","CKS1B",0.764104977681081,3.95962396648554,0.000104405570644115,0.0172856472897663,1.1109968972646
"1324","CCNE2",0.760524794608189,3.64783053540427,0.00033757015734498,0.0353251353858719,0.0714018956408706
"6990","RAD51AP1",0.75934600142753,3.62368030772495,0.00036855903999629,0.0368419961113272,-0.0060548344346163
"8843","TNFAIP3",0.756313687794279,3.68318836513453,0.000296600205650631,0.0323997502997328,0.185608453098857
"1381","CD302",-0.753393998821849,-3.57233716415218,0.000443562911288693,0.0382843136574178,-0.169239975882789
"5004","MCM6",0.74926459297849,3.58928600933734,0.000417345265951235,0.0374761901527058,-0.115595208369018
"5535","NDUFS5",0.736321092858816,3.46374937262127,0.000651928921043471,0.0467347956471586,-0.507657701677661
"7308","RPL10",0.736321092858816,3.46374937262127,0.000651928921043471,0.0467347956471586,-0.507657701677661
"966","BUB1B",0.734671160776318,3.42404743564743,0.000748791009607261,0.0492806803589971,-0.629098685366023
"10253","MT1X",0.728019729533837,3.45593060733827,0.000670023424670013,0.0474067254080253,-0.531671323145439
"1498","CDKN3",0.727736539469301,3.82186724115664,0.000176931202638499,0.0225904949916677,0.642693616635285
"5657","NNMT",0.713149498450504,3.7692308380219,0.000215628772850188,0.0253651738045251,0.46749551731982
"1877","COX6C",0.707276632528403,3.51572187568106,0.000542807213459683,0.0422910678957265,-0.346824936793936
"4788","LSM5",0.707242034840854,3.59070786009822,0.000415213454265486,0.0374761901527058,-0.111084854046089
"6796","PSMG1",0.688284784210528,3.59960254521405,0.000402108260316304,0.0370499054461875,-0.0828340962814949
"1531","CENPA",0.687534763873644,3.48832367150033,0.000597994466896657,0.0452596383659784,-0.431872701535727
"4473","KIF4A",0.684330079733086,4.66722205521111,5.59438336786742e-06,0.00338402270223651,3.73128355757613
"4884","MANSC1",-0.680748963113415,-3.61352451272758,0.000382374936938794,0.0368489891369082,-0.0384939326488389
"4999","MCM2",0.666916609917086,3.61382382716597,0.000381960868148787,0.0368489891369082,-0.0375390100119279
"10252","MT1F",0.665517561276947,3.50665928909389,0.000560509495729945,0.0433515227500329,-0.375020998926351
"7296","RPA3",0.660750671747496,3.58423961825455,0.000424994860463585,0.0375270461789346,-0.131590664616449
"1881","COX7B",0.659430493078529,3.64497932697766,0.00034109654795042,0.0353251353858719,0.0622340155251155
"5389","MYL6B",0.65406651109148,3.78193888053505,0.000205612821873053,0.0248253448702967,0.509603030911017
"6079","PCNT",0.651272374291563,3.83435425708601,0.00016876912918144,0.0225904949916677,0.684561086674681
"632","ATAD2",0.651200003835216,3.57180528103183,0.000444410209500037,0.0382843136574178,-0.170919856262763
"7555","SDC4",0.649649272073519,5.52546052943892,1.01891442169143e-07,0.000432353597870613,7.35479477711517
"9412","WBP5",0.648223460203427,5.38181357385151,2.05826640957481e-07,0.000436187817517093,6.71673096651173
"8507","TARS",0.635963059679196,3.66809396586018,0.000313480728761524,0.0335519373935061,0.136736566653259
"1304","CCL20",0.633875270536134,4.13354279472144,5.25777442795686e-05,0.0111422755677262,1.72215472667199
"1716","CLEC7A",-0.623034851062243,-3.85544093078161,0.000155790301115947,0.0222680843268946,0.755526743537453
"6989","RAD51",0.622876984008147,3.86495201611424,0.000150251239892049,0.0222680843268946,0.787644168062688
"10149","JUN",0.621280744517963,4.62595089497525,6.70022775393469e-06,0.0035497806640346,3.56893056427713
"2985","FEN1",0.617082334665833,3.4299887620554,0.000733485458819124,0.0492669886589847,-0.611003732099376
"743","AURKA",0.614104893877613,3.53393383605737,0.000508808408952969,0.0411552206203485,-0.289970143707439
"3134","FRAT1",-0.612007875969718,-3.59152299531404,0.000413995929602041,0.0374761901527058,-0.108498403908199
"8110","SNRPG",0.606816016302214,3.41814464376309,0.000764292807996075,0.0496837214326774,-0.647048877762108
"4469","KIF2C",0.603703827189225,3.90634212988942,0.000128249690344381,0.0196946915781023,0.928195635173688
"6472","POLE2",0.602447146226192,3.47261738956117,0.000631960700710284,0.0463838264135951,-0.480363792739868
"9180","UBE2C",0.599351938783001,3.81855497399454,0.000179158203758507,0.0225995277026802,0.631607566727844
"745","AURKB",0.598519259776319,4.51478599390693,1.08282181952856e-05,0.00458943199988986,3.13734414013013
"1535","CENPF",0.585009044498957,3.62980165675879,0.000360460153639533,0.0367253441150432,0.0135358453277057
