,X,score
0,SLC39A8,0.8
1,RHAG,0.8
2,DDIT4,0.8
3,MPO,0.6333333333333333
4,RRM2,0.8
5,CCL3,0.8666666666666667
6,TGFBI,0.7666666666666667
7,MAFF,0.8
8,TYMS,0.8666666666666667
9,ENPP2,0.8
10,KIAA0101,0.7666666666666667
11,TOP2A,0.7666666666666667
12,KIF11,0.7333333333333333
13,PRG2,0.7333333333333333
14,CKS2,0.8
15,SLCO4A1,0.6666666666666666
16,ZWINT,0.8
17,CCR2,0.8333333333333334
18,CCNB1,0.8
19,CEP55,0.7666666666666667
20,NUSAP1,0.6666666666666666
21,RGS1,0.8
22,PTTG1,0.8
23,PRC1,0.8
24,CD24,0.7
25,CCNB2,0.7
26,HMMR,0.7
27,CPVL,0.7333333333333333
28,RGL1,0.7333333333333333
29,MLF1IP,0.7333333333333333
30,FABP5,0.8
31,MAD2L1,0.6333333333333333
32,CD69,0.8333333333333334
33,RGS2,0.8
34,EMP1,0.7666666666666667
35,RACGAP1,0.8333333333333334
36,FGL2,0.7333333333333333
37,TTK,0.7666666666666667
38,NME1,0.7666666666666667
39,TFRC,0.8666666666666667
40,CTSL1,0.7
41,EBI3,0.6666666666666666
42,SHCBP1,0.7666666666666667
43,CCRL2,0.9333333333333333
44,KIF14,0.7333333333333333
45,MELK,0.8333333333333334
46,TFDP2,0.8
47,MT1G,0.8
48,H1F0,0.9
49,MCM4,0.7666666666666667
50,AREG,0.8333333333333334
51,NEK2,0.7333333333333333
52,MT1H,0.7333333333333333
53,TPX2,0.6666666666666666
54,BTG3,0.8666666666666667
55,RAB13,0.7666666666666667
56,HSPA6,0.8
57,CDC20,0.8
58,EMR3,0.7666666666666667
59,CASC5,0.7333333333333333
60,MT1E,0.8
61,SCD,0.8
62,GINS2,0.7
63,RCBTB2,0.6666666666666666
64,E2F8,0.9
65,STAT4,0.8666666666666667
66,NUAK2,0.8333333333333334
67,CKS1B,0.7666666666666667
68,CCNE2,0.7
69,RAD51AP1,0.8333333333333334
70,TNFAIP3,0.7666666666666667
71,CD302,0.7333333333333333
72,MCM6,0.8333333333333334
73,NDUFS5,0.6666666666666666
74,RPL10,0.6666666666666666
75,BUB1B,0.6666666666666666
76,MT1X,0.8
77,CDKN3,0.6
78,NNMT,0.7
79,COX6C,0.7666666666666667
80,LSM5,0.7333333333333333
81,PSMG1,0.7333333333333333
82,CENPA,0.8666666666666667
83,KIF4A,0.8
84,MANSC1,0.8666666666666667
85,MCM2,0.7333333333333333
86,MT1F,0.7666666666666667
87,RPA3,0.6
88,COX7B,0.7333333333333333
89,MYL6B,0.7333333333333333
90,PCNT,0.8
91,ATAD2,0.8666666666666667
92,SDC4,0.8666666666666667
93,WBP5,0.8333333333333334
94,TARS,0.8
95,CCL20,0.8333333333333334
96,CLEC7A,0.7333333333333333
97,RAD51,0.7666666666666667
98,JUN,0.6
99,FEN1,0.8
100,AURKA,0.7333333333333333
101,FRAT1,0.7333333333333333
102,SNRPG,0.5666666666666667
103,KIF2C,0.7333333333333333
104,POLE2,0.8
105,UBE2C,0.7333333333333333
106,AURKB,0.8333333333333334
107,CENPF,0.6333333333333333
